match_id,patch,region,tournament,team1_name,team2_name,team1_drafted_champions,team2_drafted_champions,team1_banned_champions,team2_banned_champions,winner
c5106aed-6176-49ea-bd36-0058c0143562,,LEC,LEC - Spring 2024,MAD Lions,SK Gaming,Taliyah|Vi|Varus|Braum|Twisted Fate,Xin Zhao|Nautilus|Zeri|Ahri|Jayce,Ashe|Jax|Kalista|Gragas|Malphite,Volibear|Karma|Smolder|Alistar|Renata Glasc,0
40a26d88-b1ec-4a4c-9850-346cfc1a5c93,,LEC,LEC - Spring 2024,Team Vitality,Team BDS,Senna|Nautilus|Jayce|Maokai|Rumble,Zeri|Sejuani|Rakan|Ahri|Olaf,Orianna|Ashe|Taliyah|Renekton|Darius,Kalista|Smolder|Rell|Twisted Fate|LeBlanc,0
3ed9b0e6-0943-4a52-a295-f617e9c4292a,,LEC,LEC - Spring 2024,Team Heretics,Rogue,Taliyah|Zeri|Vi|K'Sante|Rell,Ziggs|Nautilus|Tristana|Sejuani|Renekton,Hwei|Volibear|Senna|Maokai|Gnar,Orianna|Smolder|Kalista|Gragas|Rakan,0
faf83bbc-983c-4ed8-9a3e-136022a4e8c4,,LEC,LEC - Spring 2024,Fnatic,Karmine Corp,Orianna|Kai'Sa|Nautilus|Rell|Aatrox,Zeri|Sejuani|Braum|Aurelion Sol|Renekton,Volibear|Senna|Vi|Hwei|Taliyah,Varus|Kalista|Smolder|K'Sante|Xin Zhao,0
9b7340cd-cc82-4146-b205-cb83cbe07e24,,LEC,LEC - Spring 2024,GIANTX,SK Gaming,Ashe|Kalista|Gragas|Sejuani|Jayce,Varus|Rell|Nautilus|Renekton|Orianna,Senna|Vi|Taliyah|Rumble|Aatrox,Xin Zhao|Volibear|Blitzcrank|Yone|Lee Sin,1
6594ea3a-9d37-45b7-b217-0d1c68a7a223,,LEC,LEC - Spring 2024,MAD Lions,G2 Esports,Smolder|Ivern|Orianna|K'Sante|Alistar,Kog'Maw|Rell|Milio|Neeko|Jayce,Kalista|Draven|Lucian|Volibear|Twisted Fate,Vi|Varus|Xin Zhao|Nautilus|Blitzcrank,1
ae236468-d0f3-413d-a3df-53c8498221ad,,LEC,LEC - Spring 2024,Rogue,Team BDS,Kalista|Hwei|Renata Glasc|Xin Zhao|Gragas,Aphelios|Taliyah|Blitzcrank|Maokai|Renekton,Varus|Zeri|Vi|Darius|Rell,Smolder|Orianna|Senna|Jarvan IV|Volibear,1
7019e625-4798-4210-91bf-1bf7163bb8c9,,LEC,LEC - Spring 2024,SK Gaming,Team Vitality,Kalista|Rell|Renata Glasc|Neeko|Volibear,Taliyah|Nautilus|Senna|Poppy|Smolder,Varus|Jayce|Ashe|Maokai|Rumble,Orianna|Vi|Renekton|Ahri|Hwei,0
ef556ebf-c75f-47a9-bdef-427e37d6b449,,LEC,LEC - Spring 2024,GIANTX,MAD Lions,Vi|Varus|Nautilus|Rumble|Yone,Senna|Volibear|Tahm Kench|Karma|LeBlanc,Taliyah|Orianna|Xin Zhao|Twisted Fate|Akali,Kalista|Smolder|Nilah|Hwei|Ahri,0
18be4d2d-05a0-48ef-852a-321da6d2a4ac,,LEC,LEC - Spring 2024,Team Heretics,Fnatic,Smolder|Neeko|Nautilus|Aatrox|Lee Sin,Volibear|Ahri|Rell|Zeri|Renekton,Kalista|Ashe|Hwei|Kai'Sa|Twisted Fate,Orianna|Draven|Taliyah|Vi|Xin Zhao,0
169e4b99-b003-43a0-b934-ca6f5cac5870,,LEC,LEC - Spring 2024,G2 Esports,Karmine Corp,Smolder|Jarvan IV|Neeko|Gragas|Rakan,Orianna|Senna|Tahm Kench|Lee Sin|Gnar,Vi|Zeri|Kai'Sa|Xin Zhao|K'Sante,Kalista|Draven|Varus|Blitzcrank|Zac,0
e3f83393-bae4-4f39-8aa6-b35d2c470dbe,,LEC,LEC - Spring 2024,SK Gaming,Team BDS,Neeko|Xin Zhao|Zeri|Nautilus|Jayce,Karma|Aphelios|Jax|Thresh|Olaf,Ashe|Orianna|Varus|K'Sante|Malphite,Smolder|Rell|Kalista|Renekton|Gragas,1
d4450b37-2b36-4fff-b44d-22e965acf822,,LEC,LEC - Spring 2024,GIANTX,Fnatic,Taliyah|Varus|Nautilus|Renekton|Maokai,Rell|Ahri|Zeri|Viego|Ornn,Ashe|Volibear|Hwei|Twisted Fate|Lee Sin,Vi|Kalista|Orianna|K'Sante|Rumble,1
7bac4e1f-e50f-4fab-ad03-4f5c660af341,,LEC,LEC - Spring 2024,G2 Esports,Team Heretics,Jarvan IV|Draven|Ahri|Renata Glasc|Renekton,Orianna|Varus|Rell|Nautilus|Aatrox,Zeri|Vi|Kai'Sa|K'Sante|Braum,Smolder|Kalista|Neeko|Gragas|Jax,0
91a02e8e-1be2-493c-8bba-dc8e05e9228f,,LEC,LEC - Spring 2024,MAD Lions,Team Vitality,Varus|Rell|Orianna|Jayce|Jarvan IV,Senna|Nautilus|Jax|Ahri|Wukong,Maokai|Kalista|Smolder|Twisted Fate|Malphite,Vi|Ivern|Xin Zhao|Gragas|Akali,1
7d597e76-6d5d-446e-9ea0-a89f6bd1ed38,,LEC,LEC - Spring 2024,Karmine Corp,Rogue,Kalista|Rell|Neeko|Xin Zhao|Urgot,Ahri|Senna|Nautilus|Viego|Malphite,Draven|Taliyah|Aatrox|Udyr|Vi,Smolder|Orianna|Hwei|Renata Glasc|Lee Sin,1
aa5332f9-df0d-4bef-87ca-4a05cc93d7ff,,LEC,LEC - Spring 2024,GIANTX,Team BDS,Orianna|Rumble|Nautilus|Xayah|Lee Sin,Zeri|Neeko|Rell|Xin Zhao|Sion,Ashe|Vi|Olaf|Ornn|Jax,Smolder|Kalista|Maokai|Varus|Senna,1
c43910fa-878d-47c4-9712-d10c104ad516,,LEC,LEC - Spring 2024,Rogue,Team Vitality,Smolder|Tahm Kench|K'Sante|Neeko|Viego,Twisted Fate|Vi|Taliyah|Gwen|Rakan,Rell|Renata Glasc|Jayce|Varus|Zeri,Orianna|Senna|Kalista|Ahri|Xin Zhao,1
ef7a5cb5-818b-43bd-83a8-b0a7156965f9,,LEC,LEC - Spring 2024,MAD Lions,Karmine Corp,Rell|Neeko|Sivir|Aatrox|Poppy,Zeri|Ahri|Viego|Rakan|Renekton,Kalista|Jax|Vi|Renata Glasc|Alistar,Senna|Varus|Smolder|Twisted Fate|Lee Sin,1
9fc38a9c-63ef-450e-a67f-e9e8a9ab0ec7,,LEC,LEC - Spring 2024,Team Heretics,SK Gaming,Varus|Neeko|Jarvan IV|Gragas|Thresh,Senna|Nautilus|Ahri|Sejuani|Aatrox,Kalista|Renekton|Rell|Jax|Gnar,Ashe|Vi|Smolder|Renata Glasc|K'Sante,0
21d78147-9017-4443-9249-8db671bc5fe0,,LEC,LEC - Spring 2024,Fnatic,G2 Esports,Taliyah|Kai'Sa|Nautilus|Poppy|K'Sante,Smolder|Ahri|Tahm Kench|Lee Sin|Gwen,Draven|Kalista|Neeko|Twisted Fate|Jarvan IV,Vi|Volibear|Orianna|Renekton|Rell,0
